"species_code","alt_full_spp_code","n_locations","scientific_name","american_english_name","nom_francais_canadien","nombre_espanol_mexicano","taxonomy_version","taxonomic_sort_order"
"wilfly",NA,"8","Empidonax traillii","Willow Flycatcher","Moucherolle des saules","Papamoscas Saucero",2021.01,16285
"wilfly1","wilfly","1","Empidonax traillii traillii","Willow Flycatcher (Eastern)","Moucherolle des saules (traillii)","Papamoscas Saucero (traillii)",2021.01,16286
"y00324",NA,"1","Empidonax alnorum/traillii","Alder/Willow Flycatcher (Traill's Flycatcher)","Moucherolle des aulnes ou M. des saules","Papamoscas Ailero/Saucero",2021.01,16291
"leafly",NA,"52","Empidonax minimus","Least Flycatcher","Moucherolle tchébec","Papamoscas Chico",2021.01,16296
"hamfly",NA,"6","Empidonax hammondii","Hammond's Flycatcher","Moucherolle de Hammond","Papamoscas de Hammond",2021.01,16297
"gryfly",NA,"12","Empidonax wrightii","Gray Flycatcher","Moucherolle gris","Papamoscas Bajacolita",2021.01,16298
"dusfly",NA,"8","Empidonax oberholseri","Dusky Flycatcher","Moucherolle sombre","Papamoscas Matorralero",2021.01,16299
"pasfly",NA,"57","Empidonax difficilis","Pacific-slope Flycatcher","Moucherolle côtier","Papamoscas Amarillo del Pacífico",2021.01,16308
"corfly",NA,"2","Empidonax occidentalis","Cordilleran Flycatcher","Moucherolle des ravins","Papamoscas Amarillo Barranqueño",2021.01,16312
"wesfly",NA,"17","Empidonax difficilis/occidentalis","Pacific-slope/Cordilleran Flycatcher (Western Flycatcher)","Moucherolle côtier ou M. des ravins","Papamoscas Amarillo del Pacífico/Barranqueño",2021.01,16316
"empido",NA,"2","Empidonax sp.","Empidonax sp.","Empidonax sp.","Empidonax sp.",2021.01,16329
"blkpho",NA,"1657","Sayornis nigricans","Black Phoebe","Moucherolle noir","Papamoscas Negro",2021.01,16330
"easpho",NA,"5312","Sayornis phoebe","Eastern Phoebe","Moucherolle phébi","Papamoscas Fibí",2021.01,16339
"x00621",NA,"1","Sayornis nigricans x phoebe","Black x Eastern Phoebe (hybrid)","Hybride Moucherolle noir x M. phébi","Papamoscas Negro x Fibí (híbrido)",2021.01,16340
"saypho",NA,"528","Sayornis saya","Say's Phoebe","Moucherolle à ventre roux","Papamoscas Llanero",2021.01,16341
"phoebe1",NA,"7","Sayornis sp.","phoebe sp.","Sayornis sp.","Sayornis sp.",2021.01,16345
"verfly",NA,"63","Pyrocephalus rubinus","Vermilion Flycatcher","Moucherolle vermillon","Papamoscas Cardenalito",2021.01,16360
"ducfly",NA,"3","Myiarchus tuberculifer","Dusky-capped Flycatcher","Tyran olivâtre","Papamoscas Triste",2021.01,16617
