"species_code","alt_full_spp_code","n_locations","scientific_name","american_english_name","nom_francais_canadien","nombre_espanol_mexicano","taxonomy_version","taxonomic_sort_order"
"swiwhe1",NA,"4","Zosterops simplex","Swinhoe's White-eye","Zostérops de Swinhoe","Anteojitos de Swinhoe",2021.01,24735
"warwhe1",NA,"15","Zosterops japonicus","Warbling White-eye","Zostérops du Japon","Anteojitos Japonés",2021.01,24746
"reblei",NA,"2","Leiothrix lutea","Red-billed Leiothrix","Léiothrix jaune","Leiótrix Piquirrojo",2021.01,25661
"ruckin",NA,"9174","Corthylio calendula","Ruby-crowned Kinglet","Roitelet à couronne rubis","Reyezuelo Matraquita",2021.01,25942
"gockin",NA,"4615","Regulus satrapa","Golden-crowned Kinglet","Roitelet à couronne dorée","Reyezuelo Corona Amarilla",2021.01,25946
"rebnut",NA,"35228","Sitta canadensis","Red-breasted Nuthatch","Sittelle à poitrine rousse","Bajapalos Pecho Canela",2021.01,26022
"whbnut",NA,"54437","Sitta carolinensis","White-breasted Nuthatch","Sittelle à poitrine blanche","Bajapalos Pecho Blanco",2021.01,26025
"whbnut2","whbnut","10","Sitta carolinensis carolinensis","White-breasted Nuthatch (Eastern)","Sittelle à poitrine blanche (carolinensis)","Bajapalos Pecho Blanco (carolinensis)",2021.01,26026
"pygnut",NA,"1585","Sitta pygmaea","Pygmy Nuthatch","Sittelle pygmée","Bajapalos Enano",2021.01,26037
"bnhnut",NA,"4347","Sitta pusilla","Brown-headed Nuthatch","Sittelle à tête brune","Bajapalos Cabeza Café",2021.01,26045
"nuthat1",NA,"2","Sitta sp.","nuthatch sp.","Sitta sp.","Bajapalos sp.",2021.01,26092
"brncre",NA,"15020","Certhia americana","Brown Creeper","Grimpereau brun","Trepadorcito Americano",2021.01,26109
"buggna",NA,"826","Polioptila caerulea","Blue-gray Gnatcatcher","Gobemoucheron gris-bleu","Perlita Azulgris",2021.01,26211
"buggna1","buggna","13","Polioptila caerulea caerulea","Blue-gray Gnatcatcher (caerulea)","Gobemoucheron gris-bleu (caerulea)","Perlita Azulgris (caerulea)",2021.01,26219
"bktgna",NA,"55","Polioptila melanura","Black-tailed Gnatcatcher","Gobemoucheron à queue noire","Perlita del Desierto",2021.01,26221
"calgna",NA,"5","Polioptila californica","California Gnatcatcher","Gobemoucheron de Californie","Perlita Californiana",2021.01,26225
"bkcgna",NA,"1","Polioptila nigriceps","Black-capped Gnatcatcher","Gobemoucheron à coiffe noire","Perlita Sinaloense",2021.01,26229
"rocwre",NA,"103","Salpinctes obsoletus","Rock Wren","Troglodyte des rochers","Saltapared de Rocas",2021.01,26237
"rocwre1","rocwre","1","Salpinctes obsoletus [obsoletus Group]","Rock Wren (Northern)","Troglodyte des rochers (groupe obsoletus)","Saltapared de Rocas (grupo obsoletus)",2021.01,26238
"canwre",NA,"80","Catherpes mexicanus","Canyon Wren","Troglodyte des canyons","Saltapared Barranqueño",2021.01,26271
"houwre",NA,"1812","Troglodytes aedon","House Wren","Troglodyte familier","Saltapared Común",2021.01,26278
"houwre1","houwre","14","Troglodytes aedon [aedon Group]","House Wren (Northern)","Troglodyte familier (groupe aedon)","Saltapared Común (grupo aedon)",2021.01,26279
"houwre4","houwre","3","Troglodytes aedon [musculus Group]","House Wren (Southern)","Troglodyte familier (groupe musculus)","Saltapared Común (grupo musculus)",2021.01,26295
"pacwre1",NA,"665","Troglodytes pacificus","Pacific Wren","Troglodyte de Baird","Saltapared Cholino del Oeste",2021.01,26369
"winwre2","pacwre1","5","Troglodytes pacificus [pacificus Group]","Pacific Wren (pacificus Group)","Troglodyte de Baird (groupe pacificus)","Saltapared Cholino del Oeste [grupo pacificus]",2021.01,26379
"winwre3",NA,"1272","Troglodytes hiemalis","Winter Wren","Troglodyte des forêts","Saltapared Cholino del Este",2021.01,26385
"winwre",NA,"143","Troglodytes pacificus/hiemalis","Pacific/Winter Wren","Troglodyte de Baird ou T. des forêts","Saltapared Cholino del Oeste/Cholino del Este",2021.01,26388
"sedwre1",NA,"1","Cistothorus stellaris","Sedge Wren","Troglodyte à bec court","Saltapared Carrizalero",2021.01,26393
"sedwre",NA,"2","Cistothorus platensis","Grass Wren","Troglodyte de Latham","Saltapared Sabanero",2021.01,26394
"marwre",NA,"27","Cistothorus palustris","Marsh Wren","Troglodyte des marais","Saltapared Pantanero",2021.01,26419
"marwre1","marwre","1","Cistothorus palustris [paludicola Group]","Marsh Wren (paludicola Group)","Troglodyte des marais (groupe paludicola)","Saltapared Pantanero (grupo paludicola)",2021.01,26420
"marwre2","marwre","1","Cistothorus palustris [plesius Group]","Marsh Wren (plesius Group)","Troglodyte des marais (groupe plesius)","Saltapared Pantanero (grupo plesius)",2021.01,26425
"marwre3","marwre","2","Cistothorus palustris [palustris Group]","Marsh Wren (palustris Group)","Troglodyte des marais (groupe palustris)","Saltapared Pantanero (grupo palustris)",2021.01,26429
"carwre",NA,"31253","Thryothorus ludovicianus","Carolina Wren","Troglodyte de Caroline","Saltapared de Carolina",2021.01,26438
"carwre1","carwre","1","Thryothorus ludovicianus [ludovicianus Group]","Carolina Wren (Northern)","Troglodyte de Caroline (groupe ludovicianus)","Saltapared de Carolina (grupo ludovicianus)",2021.01,26439
"bewwre",NA,"4360","Thryomanes bewickii","Bewick's Wren","Troglodyte de Bewick","Saltapared Cola Larga",2021.01,26451
"bewwre3","bewwre","1","Thryomanes bewickii bewickii","Bewick's Wren (bewickii)","Troglodyte de Bewick (bewickii)","Saltapared Cola Larga (bewickii)",2021.01,26452
"bewwre1","bewwre","2","Thryomanes bewickii [spilurus Group]","Bewick's Wren (spilurus Group)","Troglodyte de Bewick (groupe spilurus)","Saltapared Cola Larga (grupo spilurus)",2021.01,26459
"spowre1",NA,"1","Campylorhynchus gularis","Spotted Wren","Troglodyte tacheté","Matraca Serrana",2021.01,26494
"cacwre",NA,"1023","Campylorhynchus brunneicapillus","Cactus Wren","Troglodyte des cactus","Matraca del Desierto",2021.01,26497
"hapwre1",NA,"1","Pheugopedius felix","Happy Wren","Troglodyte joyeux","Saltapared Feliz",2021.01,26586
"sinwre1",NA,"1","Thryophilus sinaloa","Sinaloa Wren","Troglodyte du Sinaloa","Saltapared Sinaloense",2021.01,26595
"wren1",NA,"21","Troglodytidae sp.","wren sp.","Troglodyte sp.","Saltapared/Matraca sp.",2021.01,26731
"amedip",NA,"17","Cinclus mexicanus","American Dipper","Cincle d'Amérique","Mirlo Acuático Norteamericano",2021.01,26751
"hilmyn",NA,"1","Gracula religiosa","Common Hill Myna","Mainate religieux","Miná Religioso",2021.01,26878
"eursta",NA,"49853","Sturnus vulgaris","European Starling","Étourneau sansonnet","Estornino Pinto",2021.01,26890
"commyn",NA,"22","Acridotheres tristis","Common Myna","Martin triste","Miná Común",2021.01,26935
"supsta1",NA,"1","Lamprotornis superbus","Superb Starling","Choucador superbe","Estornino Soberbio",2021.01,27032
"blumoc",NA,"2","Melanotis caerulescens","Blue Mockingbird","Moqueur bleu","Mulato Azul",2021.01,27060
"grycat",NA,"2080","Dumetella carolinensis","Gray Catbird","Moqueur chat","Maullador Gris",2021.01,27065
"cubthr",NA,"1026","Toxostoma curvirostre","Curve-billed Thrasher","Moqueur à bec courbe","Cuicacoche Pico Curvo",2021.01,27090
"brnthr",NA,"7558","Toxostoma rufum","Brown Thrasher","Moqueur roux","Cuicacoche Castaño",2021.01,27103
"lobthr",NA,"32","Toxostoma longirostre","Long-billed Thrasher","Moqueur à long bec","Cuicacoche Pico Largo",2021.01,27106
"benthr",NA,"55","Toxostoma bendirei","Bendire's Thrasher","Moqueur de Bendire","Cuicacoche Pico Corto",2021.01,27112
"y00330",NA,"1","Toxostoma curvirostre/bendirei","Curve-billed/Bendire's Thrasher","Moqueur à bec courbe ou M. de Bendire","Cuicacoche Pico Curvo/Pico Corto",2021.01,27116
"calthr",NA,"411","Toxostoma redivivum","California Thrasher","Moqueur de Californie","Cuicacoche Californiano",2021.01,27120
"lecthr",NA,"8","Toxostoma lecontei","LeConte's Thrasher","Moqueur de LeConte","Cuicacoche Pálido",2021.01,27123
"crithr",NA,"96","Toxostoma crissale","Crissal Thrasher","Moqueur cul-roux","Cuicacoche Crisal",2021.01,27128
"sagthr",NA,"64","Oreoscoptes montanus","Sage Thrasher","Moqueur des armoises","Cuicacoche Chato",2021.01,27135
"bahmoc",NA,"1","Mimus gundlachii","Bahama Mockingbird","Moqueur des Bahamas","Sinsonte de Bahamas",2021.01,27145
"lotmoc1",NA,"1","Mimus longicaudatus","Long-tailed Mockingbird","Moqueur à longue queue","Sinsonte Colilargo",2021.01,27158
"normoc",NA,"22266","Mimus polyglottos","Northern Mockingbird","Moqueur polyglotte","Centzontle Norteño",2021.01,27176
"easblu",NA,"15995","Sialia sialis","Eastern Bluebird","Merlebleu de l'Est","Azulejo Garganta Canela",2021.01,27185
"easblu1","easblu","2","Sialia sialis sialis/bermudensis","Eastern Bluebird (Eastern)","Merlebleu de l'Est (sialis/bermudensis)","Azulejo Garganta Canela (grupo sialis)",2021.01,27186
"wesblu",NA,"1314","Sialia mexicana","Western Bluebird","Merlebleu de l'Ouest","Azulejo Garganta Azul",2021.01,27195
"moublu",NA,"390","Sialia currucoides","Mountain Bluebird","Merlebleu azuré","Azulejo Pálido",2021.01,27203
"bluebi",NA,"14","Sialia sp.","bluebird sp.","Sialia sp.","Azulejo sp.",2021.01,27206
"towsol",NA,"1257","Myadestes townsendi","Townsend's Solitaire","Solitaire de Townsend","Clarín Norteño",2021.01,27221
"varthr",NA,"4463","Ixoreus naevius","Varied Thrush","Grive à collier","Mirlo Cinchado",2021.01,27311
"veery",NA,"38","Catharus fuscescens","Veery","Grive fauve","Zorzal Canelo",2021.01,27369
"gycthr",NA,"9","Catharus minimus","Gray-cheeked Thrush","Grive à joues grises","Zorzal Cara Gris",2021.01,27374
"bicthr",NA,"2","Catharus bicknelli","Bicknell's Thrush","Grive de Bicknell","Zorzalito de Bicknell",2021.01,27377
"swathr",NA,"150","Catharus ustulatus","Swainson's Thrush","Grive à dos olive","Zorzal de Anteojos",2021.01,27380
"swathr2","swathr","1","Catharus ustulatus [swainsoni Group]","Swainson's Thrush (Olive-backed)","Grive à dos olive (groupe swainsoni)","Zorzal de Anteojos (swainsoni)",2021.01,27385
"herthr",NA,"6116","Catharus guttatus","Hermit Thrush","Grive solitaire","Zorzal Cola Canela",2021.01,27389
"herthr3","herthr","30","Catharus guttatus faxoni/crymophilus","Hermit Thrush (faxoni/crymophilus)","Grive solitaire (faxoni/crymophilus)","Zorzal Cola Canela (faxoni/crymophilus)",2021.01,27399
"cathus",NA,"4","Catharus sp.","Catharus sp.","Catharus sp.","Zorzal sp.",2021.01,27402
"woothr",NA,"383","Hylocichla mustelina","Wood Thrush","Grive des bois","Zorzal Moteado Americano",2021.01,27403
"misthr1",NA,"1","Turdus viscivorus","Mistle Thrush","Grive draine","Zorzal Charlo",2021.01,27486
"redwin",NA,"2","Turdus iliacus","Redwing","Grive mauvis","Zorzal Alirrojo",2021.01,27505
"eurbla",NA,"3","Turdus merula","Eurasian Blackbird","Merle noir","Mirlo Común",2021.01,27511
"whtrob1",NA,"1","Turdus assimilis","White-throated Thrush","Merle à gorge blanche","Mirlo Garganta Blanca",2021.01,27540
"clcrob",NA,"17","Turdus grayi","Clay-colored Thrush","Merle fauve","Mirlo Café",2021.01,27566
"amerob",NA,"51948","Turdus migratorius","American Robin","Merle d'Amérique","Mirlo Primavera",2021.01,27616
"amerob3","amerob","2","Turdus migratorius nigrideus","American Robin (nigrideus)","Merle d'Amérique (nigrideus)","Mirlo Primavera (nigrideus)",2021.01,27617
"amerob1","amerob","26","Turdus migratorius [migratorius Group]","American Robin (migratorius Group)","Merle d'Amérique (groupe migratorius)","Mirlo Primavera (grupo migratorius)",2021.01,27618
"rubrob",NA,"6","Turdus rufopalliatus","Rufous-backed Robin","Merle à dos roux","Mirlo Dorso Canela",2021.01,27626
"rubrob1","rubrob","2","Turdus rufopalliatus rufopalliatus","Rufous-backed Robin (Rufous-backed)","Merle à dos roux (rufopalliatus)","Mirlo Dorso Canela (rufopalliatus)",2021.01,27627
"fieldf",NA,"4","Turdus pilaris","Fieldfare","Grive litorne","Zorzal Real",2021.01,27790
"dusthr2",NA,"1","Turdus eunomus","Dusky Thrush","Grive à ailes rousses","Zorzal Eunomo",2021.01,27802
"thrush1",NA,"25","Turdidae sp.","thrush sp.","Turdidé sp.","Zorzal/Mirlo sp.",2021.01,27807
"whrsha",NA,"3","Copsychus malabaricus","White-rumped Shama","Shama à croupion blanc","Shama Malabar",2021.01,28031
"eurrob1",NA,"3","Erithacus rubecula","European Robin","Rougegorge familier","Petirrojo Europeo",2021.01,28274
"bohwax",NA,"2409","Bombycilla garrulus","Bohemian Waxwing","Jaseur boréal","Ampelis Europeo",2021.01,28886
"cedwax",NA,"14867","Bombycilla cedrorum","Cedar Waxwing","Jaseur d'Amérique","Chinito",2021.01,28890
"waxwin",NA,"7","Bombycilla garrulus/cedrorum","Bohemian/Cedar Waxwing","Jaseur boréal ou J. d'Amérique","Ampelis Europeo/Americano",2021.01,28891
"grsfly1",NA,"3","Ptiliogonys cinereus","Gray Silky-flycatcher","Ptilogon cendré","Capulinero Gris",2021.01,28902
"phaino",NA,"216","Phainopepla nitens","Phainopepla","Phénopèple luisant","Capulinero Negro",2021.01,28908
"oliwar",NA,"1","Peucedramus taeniatus","Olive Warbler","Fauvine des pins","Ocotero Enmascarado",2021.01,29673
"orabis1",NA,"7","Euplectes franciscanus","Northern Red Bishop","Euplecte franciscain","Obispo Anaranjado",2021.01,29916
"redbis",NA,"1","Euplectes orix","Southern Red Bishop","Euplecte ignicolore","Obispo Rojo",2021.01,29917
"zebfin1","zebfin2","1","Taeniopygia guttata guttata","Zebra Finch (Lesser Sundas)","Diamant mandarin (guttata)","Diamante Cebra (de Timor)",2021.01,30007
"broman1",NA,"6","Spermestes cucullata","Bronze Mannikin","Capucin nonnette","Capuchino Bronceado",2021.01,30019
"afrsil1",NA,"2","Euodice cantans","African Silverbill","Capucin bec-d'argent","Capuchino Picoplata Africano",2021.01,30031
"javspa",NA,"18","Padda oryzivora","Java Sparrow","Padda de Java","Capuchino Arrocero de Java",2021.01,30035
"nutman",NA,"157","Lonchura punctulata","Scaly-breasted Munia","Capucin damier","Capuchino Pecho Escamoso",2021.01,30045
"chemun",NA,"2","Lonchura atricapilla","Chestnut Munia","Capucin à tête noire","Capuchino Castaño",2021.01,30083
"orcwax",NA,"1","Estrilda melpoda","Orange-cheeked Waxbill","Astrild à joues orange","Estrilda Carinaranja",2021.01,30255
"comwax",NA,"5","Estrilda astrild","Common Waxbill","Astrild ondulé","Estrilda Común",2021.01,30265
"redava",NA,"2","Amandava amandava","Red Avadavat","Bengali rouge","Bengalí Rojo",2021.01,30318
"bubcor1",NA,"1","Uraeginthus angolensis","Southern Cordonbleu","Cordonbleu d'Angola","Azulito Angoleño",2021.01,30325
"rebfir2",NA,"1","Lagonosticta senegala","Red-billed Firefinch","Amarante du Sénégal","Amaranta Senegalesa",2021.01,30373
"pitwhy",NA,"7","Vidua macroura","Pin-tailed Whydah","Veuve dominicaine","Viuda Colicinta",2021.01,30406
"houspa",NA,"53885","Passer domesticus","House Sparrow","Moineau domestique","Gorrión Doméstico",2021.01,30494
"eutspa",NA,"525","Passer montanus","Eurasian Tree Sparrow","Moineau friquet","Gorrión Molinero",2021.01,30560
"x00754",NA,"2","Passer domesticus x montanus","House x Eurasian Tree Sparrow (hybrid)","Hybride Moineau domestique x M. friquet","Gorrión Común x Molinero (híbrido)",2021.01,30570
"y00597",NA,"1","Motacilla flava/tschutschensis","Western/Eastern Yellow Wagtail","Bergeronnette printanière ou B. de Béringie","Lavandera Amarilla Occidental/Oriental",2021.01,30661
"watpip1",NA,"1","Anthus spinoletta","Water Pipit","Pipit spioncelle","Bisbita Alpino",2021.01,30825
"amepip",NA,"75","Anthus rubescens","American Pipit","Pipit d'Amérique","Bisbita Norteamericana",2021.01,30836
"amepip2","amepip","2","Anthus rubescens [rubescens Group]","American Pipit (rubescens Group)","Pipit d'Amérique (groupe rubescens)","Bisbita Norteamericana (grupo rubescens)",2021.01,30838
"sprpip",NA,"1","Anthus spragueii","Sprague's Pipit","Pipit de Sprague","Bisbita Llanera",2021.01,30843
"pipit1",NA,"1","Anthus sp.","pipit sp.","Anthus sp.","Bisbita sp.",2021.01,30881
"comcha",NA,"4","Fringilla coelebs","Common Chaffinch","Pinson des arbres","Pinzón Vulgar",2021.01,30901
"brambl",NA,"7","Fringilla montifringilla","Brambling","Pinson du Nord","Pinzón Real",2021.01,30923
"evegro",NA,"11145","Coccothraustes vespertinus","Evening Grosbeak","Gros-bec errant","Picogrueso Norteño",2021.01,31032
"comros",NA,"2","Carpodacus erythrinus","Common Rosefinch","Roselin cramoisi","Camachuelo Carminoso",2021.01,31096
"pingro",NA,"4856","Pinicola enucleator","Pine Grosbeak","Durbec des sapins","Camachuelo Picogrueso",2021.01,31167
"gcrfin",NA,"263","Leucosticte tephrocotis","Gray-crowned Rosy-Finch","Roselin à tête grise","Pinzón Montano Nuquigrís",2021.01,31240
"gycrof4","gcrfin","2","Leucosticte tephrocotis [tephrocotis Group]","Gray-crowned Rosy-Finch (Gray-crowned)","Roselin à tête grise (groupe tephrocotis)","Pinzón Montano Nuquigrís (grupo tephrocotis)",2021.01,31244
"bkrfin",NA,"70","Leucosticte atrata","Black Rosy-Finch","Roselin noir","Pinzón Montano Negro",2021.01,31250
"bcrfin",NA,"31","Leucosticte australis","Brown-capped Rosy-Finch","Roselin à tête brune","Pinzón Montano Coronipardo",2021.01,31251
"rosfin",NA,"845","Leucosticte sp.","rosy-finch sp.","Leucosticte sp.","Pinzón montano sp.",2021.01,31252
"houfin",NA,"64169","Haemorhous mexicanus","House Finch","Roselin familier","Pinzón Mexicano",2021.01,31253
"purfin",NA,"37714","Haemorhous purpureus","Purple Finch","Roselin pourpré","Pinzón Colorado",2021.01,31267
"purfin1","purfin","1","Haemorhous purpureus purpureus","Purple Finch (Eastern)","Roselin pourpré (purpureus)","Pinzón Colorado (purpureus)",2021.01,31268
"purfin2","purfin","4","Haemorhous purpureus californicus","Purple Finch (Western)","Roselin pourpré (californicus)","Pinzón Colorado (californicus)",2021.01,31269
"y00338",NA,"26","Haemorhous mexicanus/purpureus","House/Purple Finch","Roselin familier ou R. pourpré","Pinzón Mexicano/Colorado",2021.01,31270
"casfin",NA,"3153","Haemorhous cassinii","Cassin's Finch","Roselin de Cassin","Pinzón Serrano",2021.01,31271
"eurgre1",NA,"2","Chloris chloris","European Greenfinch","Verdier d'Europe","Verderón Común",2021.01,31278
"yefcan",NA,"9","Crithagra mozambica","Yellow-fronted Canary","Serin du Mozambique","Serín Frentiamarillo",2021.01,31307
"comred",NA,"17117","Acanthis flammea","Common Redpoll","Sizerin flammé","Pardillo Norteño",2021.01,31423
"comred3","comred","2","Acanthis flammea flammea","Common Redpoll (flammea)","Sizerin flammé (flammea)","Pardillo Norteño (flammea)",2021.01,31424
"hoared",NA,"3102","Acanthis hornemanni","Hoary Redpoll","Sizerin blanchâtre","Pardillo Ártico",2021.01,31430
"x00625",NA,"3","Acanthis flammea x hornemanni","Common x Hoary Redpoll (hybrid)","Hybride Sizerin flammé x S. blanchâtre","Pardillo Norteño x Ártico (híbrido)",2021.01,31433
"redpol",NA,"28","Acanthis flammea/hornemanni","Common/Hoary Redpoll","Sizerin flammé ou S. blanchâtre","Pardillo Norteño/Ártico",2021.01,31434
"redcro",NA,"1444","Loxia curvirostra","Red Crossbill","Bec-croisé des sapins","Picotuerto Rojo",2021.01,31438
"redcro1","redcro","1","Loxia curvirostra (type 1)","Red Crossbill (Appalachian or type 1)","Bec-croisé des sapins (type 1)","Picotuerto Rojo (tipo 1)",2021.01,31466
"whwcro",NA,"1132","Loxia leucoptera","White-winged Crossbill","Bec-croisé bifascié","Piquituerto Aliblanco",2021.01,31480
"crossb",NA,"9","Loxia sp.","crossbill sp.","Loxia sp.","Piquituerto sp.",2021.01,31483
"eurgol",NA,"68","Carduelis carduelis","European Goldfinch","Chardonneret élégant","Jilguero Europeo",2021.01,31491
"comcan",NA,"1","Serinus canaria","Island Canary","Serin des Canaries","Serín Canario",2021.01,31510
"islcan1",NA,"1","Serinus canaria (Domestic type)","Island Canary (Domestic type)","Serin des Canaries (forme domestique)","Serín Canario (doméstico)",2021.01,31511
"canary1",NA,"1","Serinus sp.","Serinus sp.","Serinus sp.","Serín sp.",2021.01,31527
"pinsis",NA,"30656","Spinus pinus","Pine Siskin","Tarin des pins","Jilguerito Pinero",2021.01,31530
"blhsis1",NA,"1","Spinus notatus","Black-headed Siskin","Tarin à tête noire","Jilguerito Encapuchado",2021.01,31539
"lesgol",NA,"5910","Spinus psaltria","Lesser Goldfinch","Chardonneret mineur","Jilguerito Dominico",2021.01,31544
"lawgol",NA,"320","Spinus lawrencei","Lawrence's Goldfinch","Chardonneret gris","Jilguerito Cara Negra",2021.01,31550
"amegfi",NA,"63796","Spinus tristis","American Goldfinch","Chardonneret jaune","Jilguerito Canario",2021.01,31551
"goldfi",NA,"23","Spinus sp. (goldfinch sp.)","new world goldfinch sp.","Carduelis sp.","Spinus sp. (Jilguerito de colores sp.)",2021.01,31558
"spinus1",NA,"1","Spinus sp.","Spinus sp.","Spinus sp.","Spinus sp.",2021.01,31589
"y00631",NA,"1","Acanthis/Spinus sp.","Acanthis/Spinus sp.","Acanthis ou Spinus sp.","Acanthis/Spinus sp.",2021.01,31590
"finch1",NA,"7","Fringillidae sp.","finch sp.","Fringillidé sp.","Pinzón sp.",2021.01,31591
"laplon",NA,"95","Calcarius lapponicus","Lapland Longspur","Plectrophane lapon","Escribano Ártico",2021.01,31592
"chclon",NA,"3","Calcarius ornatus","Chestnut-collared Longspur","Plectrophane à ventre noir","Escribano Collar Castaño",2021.01,31596
"smilon",NA,"4","Calcarius pictus","Smith's Longspur","Plectrophane de Smith","Escribano de Smith",2021.01,31597
"mcclon",NA,"3","Rhynchophanes mccownii","Thick-billed Longspur","Plectrophane à ventre gris","Escribano Pico Grueso",2021.01,31598
"snobun",NA,"2645","Plectrophenax nivalis","Snow Bunting","Plectrophane des neiges","Escribano Nival",2021.01,31600
"mckbun",NA,"2","Plectrophenax hyperboreus","McKay's Bunting","Plectrophane blanc","Escribano de Mckay",2021.01,31606
"yebbun",NA,"1","Emberiza aureola","Yellow-breasted Bunting","Bruant auréole","Escribano Aureolado",2021.01,31742
"rusbun",NA,"5","Emberiza rustica","Rustic Bunting","Bruant rustique","Escribano Rústico",2021.01,31746
"grybun",NA,"1","Emberiza variabilis","Gray Bunting","Bruant gris","Escribano Gris",2021.01,31758
"ruwspa",NA,"33","Peucaea carpalis","Rufous-winged Sparrow","Bruant à épaulettes","Zacatonero Hombros Canela",2021.01,31823
"botspa",NA,"2","Peucaea botterii","Botteri's Sparrow","Bruant de Botteri","Zacatonero de Botteri",2021.01,31836
"casspa",NA,"14","Peucaea cassinii","Cassin's Sparrow","Bruant de Cassin","Zacatonero de Cassin",2021.01,31848
"bacspa",NA,"18","Peucaea aestivalis","Bachman's Sparrow","Bruant des pinèdes","Chingolo de Bachman",2021.01,31850
"graspa",NA,"40","Ammodramus savannarum","Grasshopper Sparrow","Bruant sauterelle","Gorrión Chapulín",2021.01,31855
"olispa",NA,"16","Arremonops rufivirgatus","Olive Sparrow","Tohi olive","Rascador Oliváceo",2021.01,31878
"chispa",NA,"21748","Spizella passerina","Chipping Sparrow","Bruant familier","Gorrión Cejas Blancas",2021.01,31905
"clcspa",NA,"174","Spizella pallida","Clay-colored Sparrow","Bruant des plaines","Gorrión Pálido",2021.01,31911
"x00198",NA,"1","Spizella passerina x pallida","Chipping x Clay-colored Sparrow (hybrid)","Hybride Bruant familier x B. des plaines","Gorrión Cejas Blancas x Pálido (híbrido)",2021.01,31912
"bkcspa",NA,"42","Spizella atrogularis","Black-chinned Sparrow","Bruant à menton noir","Gorrión Barba Negra",2021.01,31913
"fiespa",NA,"6891","Spizella pusilla","Field Sparrow","Bruant des champs","Gorrión Llanero",2021.01,31918
"brespa",NA,"110","Spizella breweri","Brewer's Sparrow","Bruant de Brewer","Gorrión de Brewer",2021.01,31923
"x00201",NA,"1","Spizella atrogularis x breweri","Black-chinned x Brewer's Sparrow (hybrid)","Hybride Bruant à menton noir x B. de Brewer","Gorrión Barba Negra x de Brewer (híbrido)",2021.01,31926
"bktspa",NA,"671","Amphispiza bilineata","Black-throated Sparrow","Bruant à gorge noire","Zacatonero Garganta Negra",2021.01,31930
"larspa",NA,"582","Chondestes grammacus","Lark Sparrow","Bruant à joues marron","Gorrión Arlequín",2021.01,31941
"larbun",NA,"78","Calamospiza melanocorys","Lark Bunting","Bruant noir et blanc","Gorrión Alas Blancas",2021.01,31944
"amtspa",NA,"25986","Spizelloides arborea","American Tree Sparrow","Bruant hudsonien","Chingolo Arbóreo",2021.01,32008
"foxspa",NA,"17100","Passerella iliaca","Fox Sparrow","Bruant fauve","Gorrión Rascador",2021.01,32012
"foxsp2","foxspa","33","Passerella iliaca [unalaschcensis Group]","Fox Sparrow (Sooty)","Bruant fauve (groupe unalaschcensis)","Gorrión Rascador (grupo unalaschcensis)",2021.01,32013
"foxsp4","foxspa","1","Passerella iliaca [megarhyncha Group]","Fox Sparrow (Thick-billed)","Bruant fauve (groupe megarhyncha)","Gorrión Rascador (grupo megarhyncha)",2021.01,32021
"foxsp3","foxspa","18","Passerella iliaca [schistacea Group]","Fox Sparrow (Slate-colored)","Bruant fauve (groupe schistacea)","Gorrión Rascador (grupo schistacea)",2021.01,32027
"foxsp1","foxspa","49","Passerella iliaca iliaca/zaboria","Fox Sparrow (Red)","Bruant fauve (iliaca/zaboria)","Gorrión Rascador (iliaca/zaboria)",2021.01,32033
"daejun",NA,"71962","Junco hyemalis","Dark-eyed Junco","Junco ardoisé","Junco Ojos Negros",2021.01,32036
"slcjun","daejun","1005","Junco hyemalis hyemalis/carolinensis","Dark-eyed Junco (Slate-colored)","Junco ardoisé (hyemalis/carolinensis)","Junco Ojos Negros (hyemalis/carolinensis)",2021.01,32038
"daejun1","daejun","58","Junco hyemalis cismontanus","Dark-eyed Junco (cismontanus)","Junco ardoisé (cismontanus)","Junco Ojos Negros (cismontanus)",2021.01,32041
"orejun","daejun","813","Junco hyemalis [oreganus Group]","Dark-eyed Junco (Oregon)","Junco ardoisé (groupe oreganus)","Junco Ojos Negros (grupo oreganus)",2021.01,32042
"pisjun","daejun","212","Junco hyemalis mearnsi","Dark-eyed Junco (Pink-sided)","Junco ardoisé (mearnsi)","Junco Ojos Negros (mearnsi)",2021.01,32050
"whwjun","daejun","44","Junco hyemalis aikeni","Dark-eyed Junco (White-winged)","Junco ardoisé (aikeni)","Junco Ojos Negros (aikeni)",2021.01,32052
"gyhjun","daejun","129","Junco hyemalis caniceps","Dark-eyed Junco (Gray-headed)","Junco ardoisé (caniceps)","Junco Ojos Negros (caniceps)",2021.01,32054
"daejun8","daejun","25","Junco hyemalis oreganus x caniceps","Dark-eyed Junco (Oregon x Gray-headed)","Junco ardoisé (oreganus x caniceps)","Junco Ojos Negros (oreganus x caniceps)",2021.01,32055
"daejun4","daejun","21","Junco hyemalis mearnsi x caniceps","Dark-eyed Junco (Pink-sided x Gray-headed)","Junco ardoisé (mearnsi x caniceps)","Junco Ojos Negros (mearnsi x caniceps)",2021.01,32056
"rebjun1","daejun","11","Junco hyemalis dorsalis","Dark-eyed Junco (Red-backed)","Junco ardoisé (dorsalis)","Junco Ojos Negros (dorsalis)",2021.01,32057
"yeejun",NA,"30","Junco phaeonotus","Yellow-eyed Junco","Junco aux yeux jaunes","Junco Ojos de Lumbre",2021.01,32060
